bucket,elite_errortime,benchmark_errortime,elite_error,benchmark_error
5-10,23.72417736,26.23067,4.321769,3.004697
10-15,15.02002445,48.86801,1.456604,2.902371
15-20,23.18848517,46.92496,1.484473,2.751522
20-25,18.68248293,50.5386,0.919622,2.738025
25-30,3.33609253,64.47864,0.130654,2.789589
30-35,16.96165958,83.44036,0.558188,2.846127
35-40,7.82620934,76.63929,0.219943,2.88749
40-45,4.766489275,132.6021,0.116815,3.074138
45-50,5.77388363,121.2765,0.126533,3.039161
50-55,10.85190463,157.4422,0.212551,3.233305
55-60,100.9868608,188.4488,1.793314,3.363686
>60,52.344204,213.4834,0.842694,3.44021